09:20:06;runq-sz;plist-sz;ldavg-1;ldavg-5;ldavg-15
09:21:06;3;1444;2.01;2.12;2.15
09:22:06;4;1444;2.15;2.14;2.15
09:23:06;3;1441;2.24;2.17;2.16
09:24:06;3;1442;2.18;2.17;2.16
09:25:06;3;1448;2.12;2.15;2.16
09:26:06;3;1445;2.21;2.18;2.17
09:27:06;3;1442;2.41;2.25;2.19
09:28:06;4;1442;2.49;2.30;2.21
09:29:06;3;1442;2.36;2.30;2.21
09:30:06;3;1442;2.26;2.29;2.21
09:31:06;3;1445;2.35;2.31;2.22
09:32:06;4;1445;2.40;2.34;2.24
09:33:06;3;1445;2.38;2.35;2.25
09:34:06;3;1442;2.30;2.34;2.25
09:35:06;3;1442;2.24;2.32;2.25
09:36:06;4;1445;2.29;2.32;2.25
09:37:06;3;1445;2.30;2.32;2.26
09:38:06;3;1441;2.34;2.33;2.27
09:39:06;2;1441;2.24;2.31;2.26
09:40:06;3;1441;2.15;2.27;2.25
09:41:06;3;1443;2.29;2.28;2.25
09:42:06;3;1441;2.30;2.29;2.26
09:43:06;3;1441;2.18;2.26;2.25
09:44:06;3;1441;2.22;2.26;2.25
09:45:06;3;1441;2.27;2.27;2.25
09:46:06;3;1444;2.25;2.26;2.25
09:47:06;3;1444;2.20;2.24;2.25
09:48:06;3;1444;2.16;2.22;2.24
09:49:06;2;1444;2.18;2.22;2.24
09:50:06;3;1444;2.02;2.16;2.21
09:51:06;3;1447;2.20;2.19;2.22
09:52:06;4;1447;2.25;2.20;2.22
09:53:06;2;1448;2.23;2.21;2.22
09:54:06;3;1448;2.17;2.20;2.21
09:55:06;3;1448;2.14;2.17;2.20
09:56:06;4;1446;2.31;2.21;2.21
09:57:06;5;1443;2.30;2.23;2.21
09:58:06;3;1443;2.20;2.22;2.20
09:59:06;3;1443;2.29;2.25;2.21
10:00:06;3;1443;2.38;2.28;2.22
10:01:06;2;1446;2.37;2.29;2.23
10:02:06;5;1446;2.41;2.31;2.23
10:03:06;4;1446;2.25;2.28;2.23
10:04:06;3;1446;2.20;2.26;2.22
10:05:06;3;1446;2.25;2.27;2.22
10:06:06;2;1449;2.34;2.29;2.23
10:07:06;3;1450;2.26;2.28;2.23
10:08:06;2;1449;2.20;2.26;2.23
10:09:06;3;1444;2.13;2.22;2.21
10:10:06;2;1444;2.13;2.21;2.21
10:11:06;2;1446;2.29;2.26;2.22
10:12:06;2;1443;2.45;2.31;2.24
10:13:06;3;1444;2.64;2.39;2.27
10:14:06;2;1443;2.27;2.33;2.26
10:15:06;2;1443;2.19;2.30;2.25
10:16:06;2;1446;2.27;2.31;2.26
10:17:06;2;1447;2.21;2.30;2.26
10:18:06;3;1446;2.15;2.27;2.25
10:19:06;2;1443;2.14;2.25;2.25
10:20:06;2;1443;2.20;2.24;2.25
10:21:06;3;1446;2.22;2.24;2.24
10:22:06;4;1446;2.27;2.25;2.25
10:23:06;3;1439;2.21;2.24;2.24
10:24:06;3;1441;2.11;2.20;2.23
10:25:06;2;1440;2.32;2.23;2.23
10:26:06;2;1442;2.21;2.21;2.23
10:27:06;2;1439;2.11;2.19;2.21
10:28:06;2;1439;2.04;2.15;2.20
10:29:06;3;1439;2.06;2.14;2.18
10:30:06;2;1439;2.23;2.18;2.19
10:31:06;2;1442;2.24;2.19;2.19
10:32:06;4;1441;2.20;2.20;2.19
10:33:06;4;1439;2.18;2.19;2.18
10:34:06;3;1439;2.20;2.20;2.18
10:35:06;2;1440;2.13;2.17;2.18
10:36:06;2;1443;2.14;2.17;2.17
10:37:06;3;1441;2.29;2.20;2.18
10:38:06;3;1439;2.14;2.17;2.17
10:39:06;3;1439;2.31;2.21;2.19
10:40:06;2;1439;2.29;2.23;2.19
10:41:06;2;1446;2.28;2.23;2.19
10:42:06;3;1445;2.22;2.23;2.19
10:43:06;3;1442;2.22;2.23;2.19
10:44:06;3;1442;2.27;2.25;2.19
10:45:06;2;1443;2.32;2.26;2.19
10:46:06;4;1446;2.28;2.26;2.19
10:47:06;2;1446;2.25;2.25;2.19
10:48:06;4;1446;2.27;2.25;2.19
10:49:06;3;1444;2.52;2.32;2.22
10:50:06;4;1443;2.40;2.32;2.22
10:51:06;2;1445;2.41;2.34;2.23
10:52:06;4;1446;2.49;2.37;2.24
10:53:06;2;1444;2.62;2.43;2.27
10:54:06;3;1443;2.54;2.45;2.29
10:55:06;2;1443;2.31;2.41;2.28
10:56:06;5;1443;2.28;2.39;2.28
10:57:06;5;1444;2.21;2.35;2.27
10:58:06;4;1443;2.41;2.36;2.28
10:59:06;4;1443;2.29;2.34;2.27
11:00:06;3;1443;2.39;2.35;2.28
11:01:06;4;1446;2.27;2.33;2.27
11:02:06;2;1446;2.24;2.30;2.27
11:03:06;2;1443;2.19;2.29;2.26
11:04:06;3;1444;2.22;2.28;2.26
11:05:06;3;1443;2.44;2.33;2.28
11:06:06;2;1447;2.29;2.30;2.27
11:07:06;4;1446;2.33;2.30;2.27
11:08:06;2;1443;2.31;2.31;2.27
11:09:06;4;1445;2.35;2.33;2.28
11:10:06;4;1443;2.32;2.33;2.28
11:11:06;2;1449;2.31;2.33;2.28
11:12:06;4;1444;2.37;2.34;2.28
11:13:06;3;1445;2.32;2.33;2.28
11:14:06;4;1443;2.45;2.37;2.29
11:15:06;7;1443;2.29;2.35;2.29
11:16:06;4;1447;2.18;2.31;2.27
11:17:06;5;1448;2.52;2.38;2.29
11:18:06;2;1443;2.42;2.38;2.30
11:19:06;4;1443;2.52;2.41;2.31
11:20:06;4;1443;2.76;2.49;2.34
11:21:06;5;1448;2.57;2.48;2.35
11:22:06;4;1446;2.61;2.50;2.36
11:23:06;2;1443;2.48;2.48;2.36
11:24:06;3;1444;2.42;2.46;2.36
11:25:06;2;1446;2.51;2.48;2.37
11:26:06;2;1446;2.47;2.47;2.37
11:27:06;2;1443;2.60;2.50;2.38
11:28:06;5;1442;2.59;2.53;2.40
11:29:06;5;1442;2.62;2.54;2.40
11:30:06;2;1443;2.51;2.53;2.41
11:31:06;2;1445;2.52;2.53;2.42
11:32:06;3;1446;2.24;2.45;2.39
11:33:06;3;1444;2.37;2.44;2.39
11:34:06;3;1442;2.49;2.46;2.40
11:35:06;4;1442;2.53;2.48;2.41
11:36:06;3;1446;2.48;2.47;2.40
11:37:06;3;1449;2.57;2.49;2.41
11:38:06;2;1447;2.42;2.46;2.40
11:39:06;3;1445;2.53;2.47;2.41
11:40:06;4;1442;2.53;2.46;2.40
11:41:06;5;1447;2.55;2.47;2.41
11:42:06;2;1443;2.38;2.43;2.39
11:43:06;2;1442;2.34;2.41;2.39
11:44:06;4;1442;2.25;2.37;2.37
11:45:06;2;1442;2.36;2.38;2.37
11:46:06;2;1445;2.58;2.43;2.38
11:47:06;4;1445;2.44;2.41;2.38
11:48:06;2;1444;2.47;2.42;2.38
11:49:06;2;1442;2.43;2.42;2.38
11:50:06;3;1442;2.16;2.34;2.35
11:51:06;2;1445;2.06;2.28;2.33
11:52:06;3;1445;2.23;2.28;2.33
11:53:06;4;1442;2.26;2.28;2.32
11:54:06;3;1442;2.09;2.22;2.29
11:55:06;4;1442;2.07;2.19;2.28
11:56:06;3;1445;2.12;2.19;2.27
11:57:06;3;1442;2.34;2.24;2.28
11:58:06;2;1442;2.30;2.25;2.28
11:59:06;2;1442;2.35;2.28;2.28
12:00:06;3;1443;2.26;2.26;2.27
12:01:06;4;1446;2.17;2.24;2.26
12:02:06;4;1442;2.11;2.21;2.25
12:03:06;4;1442;2.16;2.21;2.25
12:04:06;2;1442;2.10;2.18;2.24
12:05:06;3;1442;2.12;2.18;2.23
12:06:06;2;1445;2.38;2.23;2.24
12:07:06;2;1445;2.64;2.33;2.27
12:08:06;3;1442;2.49;2.35;2.28
12:09:06;3;1442;2.29;2.33;2.28
12:10:06;4;1442;2.28;2.31;2.27
12:11:06;3;1445;2.17;2.27;2.26
12:12:06;2;1442;2.31;2.29;2.27
12:13:06;2;1442;2.17;2.25;2.26
12:14:06;2;1442;2.17;2.23;2.25
12:15:06;2;1442;2.10;2.20;2.24
12:16:06;2;1445;2.52;2.30;2.27
12:17:06;2;1445;2.53;2.35;2.28
12:18:06;2;1445;2.36;2.33;2.28
12:19:06;2;1445;2.32;2.32;2.27
12:20:06;2;1442;2.22;2.29;2.27
12:21:06;2;1445;2.24;2.28;2.26
12:22:06;3;1442;2.22;2.27;2.26
12:23:06;2;1442;2.38;2.30;2.27
12:24:06;2;1442;2.35;2.30;2.27
12:25:06;2;1442;2.23;2.27;2.27
12:26:06;3;1445;2.29;2.28;2.27
12:27:06;2;1442;2.38;2.31;2.28
12:28:06;2;1442;2.40;2.32;2.28
12:29:06;2;1442;2.27;2.29;2.27
12:30:06;2;1442;2.38;2.30;2.27
12:31:06;2;1445;2.39;2.32;2.28
12:32:06;2;1442;2.35;2.32;2.28
12:33:06;2;1442;2.21;2.29;2.27
12:34:06;3;1442;2.12;2.25;2.25
12:35:06;3;1442;2.14;2.23;2.25
